Number,Bin,Description,Vendor,VMRS Code,Type,On Hand Total,Alt Part Num,Inter VMRS,Major VMRS,Minor VMRS,Prev PO Facility,Tank Facility,Order Price,Last Order Date,Reorder Qty,Reorder Point,Manufacturer,Avg Ship Days
 T06-1051,KIT 02,"KIT, REPAIR FOR HT/S CLUTCHES",0000205791,000-000-000,Part,1.0, T06-1051,000,000,000,00003,,$285.680,1/1/1900,1.00,1,,0
00000,/SPORDER,,0000246865,000-000-000,Part,0.0,00000,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
000000000000,/SPORDER,,0000000010,000-000-000,Part,0.0,000000000000,000,000,000,00003,,$5.900,1/1/1900,1.00,1,,0
000000004795,/SPORDER,BOLT,0000311100,000-000-000,Part,0.0,000000004795,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
000000004913,/SPORDER,BOLT,0000311100,000-000-000,Part,0.0,000000004913,000,000,000,00003,,$6.120,1/1/1900,1.00,1,,0
000-2855,,"CHAIN, TIRE 315/80R22.5",0000105728,000-000-000,Part,0.0,2855,000,000,000,,,$141.870,1/1/1900,1.00,1,,0
0005330280,,"SEALING RING, TRUCK 8573",0000311100,000-000-000,CRITICAL PART,0.0,0005330280,000,000,000,00003,,$8.830,1/1/1900,1.00,1,,0
0019904605,/SPORDER,STUD,0000311100,000-000-000,Part,0.0,0019904605,000,000,000,00003,,$0.000,1/1/1900,1.00,1,,0
002 546 62 30,/DRHT,"HOSE, INSULATING",0000105603,000-000-000,Part,0.0,002 546 62 30,000,000,000,00003,,$75.000,1/1/1900,1.00,1,,0
0020615,,"BUMPER, REAR, WHITE, AIRPORTER",0000105760,000-000-000,CRITICAL PART,0.0,0020615,000,000,000,00003,,$313.550,1/1/1900,1.00,1,,0
0021680,,"LIGHT, LICENSE PLATE",0000105760,000-000-000,CRITICAL PART,0.0,0021680,000,000,000,00003,,$7.050,1/1/1900,1.00,1,,0
0025358831,/RETURN,SENSOR,0000311100,000-000-000,Part,0.0,0025358831,000,000,000,00003,,$241.750,1/1/1900,1.00,1,,0
0028619,,"LIGHT, BRAKE, CENTER, 11"" LED",0000105760,000-000-000,CRITICAL PART,0.0,0028619,000,000,000,00003,,$18.000,1/1/1900,1.00,1,,0
0029581-51,/DRHT,"MOTOR, DOOR, TOMMY",0000105760,000-000-000,Part,0.0,0029581-51,000,000,000,00003,,$167.570,1/1/1900,1.00,1,,0
004653CORE,/CORE,"CORE, B500R TRANSMISSION",0000311100,000-000-000,Core,0.0,ZZ004653CORE,000,000,000,,,"$10,000.000",1/1/1900,0.00,0,,0
008357001,E 04,"BULB, VANHOOL, 12V 65W HEADLIGHT",0000000010,000-000-000,Part,4.0,008357001,000,000,000,00003,,$13.350,1/1/1900,1.00,0,,0
00A,,"GLASS, LAV, SINGLE GLZ 96/102",0000205791,000-000-000,CRITICAL PART,0.0,00A,000,000,000,,,$193.640,1/1/1900,0.00,0,,0
01-01-1010,A 01,BUSHING-LOWER,0000205791,000-000-000,Part,4.0,01-01-1010,000,000,000,00003,,$15.440,3/8/2013,1.00,1,,0
01-01-1013,,"SCREW, STOP, KING PIN KIT 01-01-1079",0000205791,000-000-000,CRITICAL PART,0.0,01-01-1013,000,000,000,,,$0.000,1/1/1900,1.00,1,,0
01-01-1029,,"ARM, TIE ROD, VINTAGE PARTS",0000205791,000-000-000,Part,0.0,01-01-1029,000,000,000,00003,,$259.950,1/1/1900,1.00,1,,0
01-01-1034,A 01,SENSOR ABS FRONT & TAG E3,0000205791,000-000-000,Part,2.0,6344419,000,000,000,00003,,$42.210,5/20/2025,1.00,2,,7
